freq,crops,pesticid,unit,geo,TIME_PERIOD,OBS_VALUE
Annual,Wheat and spelt,Plant growth regulators,Kilogram,Sweden,2017,4514.0
Annual,Wheat and spelt,Plant growth regulators,Kilogram,Slovenia,2017,440.0
Annual,Wheat and spelt,Other plant protection products,Kilogram,Belgium,2017,71657.0
Annual,Wheat and spelt,Other plant protection products,Kilogram,Romania,2013,22.0
Annual,Wheat and spelt,Other plant protection products,Kilogram,Romania,2018,0.0
Annual,Common wheat and spelt,Fungicides and bactericides,Kilogram,Greece,2019,3458.0
Annual,Common wheat and spelt,Fungicides and bactericides,Kilogram,Spain,2019,314785.4
Annual,Common wheat and spelt,Fungicides and bactericides,Kilogram,France,2011,3114214.0
Annual,Common wheat and spelt,Fungicides and bactericides,Kilogram,France,2017,3335659.0
Annual,Common wheat and spelt,Fungicides and bactericides,Kilogram,Portugal,2013,1062.0
Annual,Common wheat and spelt,Fungicides and bactericides,Kilogram,Portugal,2017,1196.0
Annual,Common wheat and spelt,Fungicides and bactericides,Kilogram,Sweden,2017,67669.0
Annual,Common wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Cyprus,2014,608.0
Annual,Common wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Cyprus,2018,2390.0
Annual,Common wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Greece,2019,18230.0
Annual,Common wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Spain,2019,698466.0
Annual,Common wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,France,2011,3489866.0
Annual,Common wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,France,2017,6357894.0
Annual,Common wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Portugal,2013,14142.0
Annual,Common wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Portugal,2017,16956.0
Annual,Common wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Sweden,2017,184954.0
Annual,Common wheat and spelt,Insecticides and acaricides,Kilogram,Cyprus,2014,129.0
Annual,Common wheat and spelt,Insecticides and acaricides,Kilogram,Cyprus,2018,311.0
Annual,Common wheat and spelt,Insecticides and acaricides,Kilogram,Greece,2019,3541.0
Annual,Common wheat and spelt,Insecticides and acaricides,Kilogram,Spain,2019,119584.0
Annual,Common wheat and spelt,Insecticides and acaricides,Kilogram,France,2011,410191.0
Annual,Common wheat and spelt,Insecticides and acaricides,Kilogram,France,2017,26952.0
Annual,Common wheat and spelt,Insecticides and acaricides,Kilogram,Portugal,2013,891.0
Annual,Common wheat and spelt,Insecticides and acaricides,Kilogram,Portugal,2017,1108.0
Annual,Common wheat and spelt,Molluscicides,Kilogram,Spain,2019,265.0
Annual,Common wheat and spelt,Molluscicides,Kilogram,France,2011,38881.0
Annual,Common wheat and spelt,Molluscicides,Kilogram,France,2017,117919.0
Annual,Common wheat and spelt,Plant growth regulators,Kilogram,Spain,2019,7118.4
Annual,Common wheat and spelt,Plant growth regulators,Kilogram,France,2011,1967822.0
Annual,Common wheat and spelt,Plant growth regulators,Kilogram,France,2017,2038686.0
Annual,Common wheat and spelt,Plant growth regulators,Kilogram,Portugal,2013,0.0
Annual,Common wheat and spelt,Plant growth regulators,Kilogram,Portugal,2017,0.0
Annual,Common wheat and spelt,Plant growth regulators,Kilogram,Sweden,2017,4514.0
Annual,Common wheat and spelt,Other plant protection products,Kilogram,Spain,2019,117322.9
Annual,Common wheat and spelt,Other plant protection products,Kilogram,France,2011,1293723.0
Annual,Common wheat and spelt,Other plant protection products,Kilogram,Portugal,2013,3.0
Annual,Common wheat and spelt,Other plant protection products,Kilogram,Portugal,2017,9.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Austria,2012,23332.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Austria,2017,101621.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Czechia,2014,480173.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Czechia,2019,440407.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Germany,2014,3103450.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Germany,2018,2055233.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Denmark,2014,166747.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Denmark,2017,169199.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Estonia,2014,13999.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Estonia,2015,16966.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Estonia,2020,52788.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Finland,2013,1435.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Finland,2018,631.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Hungary,2014,622644.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Hungary,2019,579325.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Ireland,2012,202875.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Ireland,2016,123036.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Lithuania,2014,136625.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Lithuania,2018,139378.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Luxembourg,2012,6048.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Luxembourg,2013,12786.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Luxembourg,2018,7150.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Latvia,2012,82606.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Latvia,2014,447.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Latvia,2017,125260.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Netherlands,2012,60290.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Netherlands,2016,69046.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Netherlands,2020,34601.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Norway,2014,6527.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Norway,2017,7372.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Poland,2011,839738.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Poland,2017,937652.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Sweden,2017,62329.0
Annual,Common winter wheat and spelt,Fungicides and bactericides,Kilogram,Slovakia,2014,170920.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Austria,2012,121845.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Austria,2017,91098.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Czechia,2014,608619.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Czechia,2019,469866.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Germany,2014,2875921.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Germany,2018,2533498.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Denmark,2014,734084.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Denmark,2017,623261.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Estonia,2014,41439.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Estonia,2015,57118.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Estonia,2020,80815.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Finland,2013,8666.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Finland,2018,4684.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Hungary,2014,250159.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Hungary,2019,249895.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Ireland,2012,109544.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Ireland,2016,63194.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Lithuania,2014,119771.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Lithuania,2018,124526.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Luxembourg,2012,14068.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Luxembourg,2013,10398.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Luxembourg,2018,4525.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Latvia,2012,122376.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Latvia,2017,119286.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Netherlands,2012,108446.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Netherlands,2016,41915.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Netherlands,2020,46087.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Norway,2014,11908.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Norway,2017,9165.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Poland,2011,1041768.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Poland,2017,704192.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Sweden,2017,172877.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Slovakia,2014,116681.0
Annual,Common winter wheat and spelt,"Herbicides, haulm destructors and moss killers",Kilogram,Slovakia,2018,128365.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Austria,2012,3395.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Austria,2017,2465.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Czechia,2014,39551.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Czechia,2019,33022.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Germany,2014,67677.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Germany,2018,84583.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Denmark,2014,8841.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Denmark,2017,5925.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Estonia,2014,3189.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Estonia,2015,3020.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Estonia,2020,526.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Finland,2013,14.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Finland,2018,6.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Hungary,2014,38515.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Hungary,2019,33477.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Ireland,2012,17275.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Ireland,2016,10376.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Lithuania,2014,1841.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Lithuania,2018,4778.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Luxembourg,2012,209.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Luxembourg,2013,322.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Luxembourg,2018,30.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Latvia,2012,15205.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Latvia,2017,2130.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Netherlands,2012,17621.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Netherlands,2016,604.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Netherlands,2020,256.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Norway,2014,33.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Poland,2011,43544.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Poland,2017,76396.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Slovakia,2014,9052.0
Annual,Common winter wheat and spelt,Insecticides and acaricides,Kilogram,Slovakia,2018,17200.0
Annual,Common winter wheat and spelt,Molluscicides,Kilogram,Czechia,2014,985.0
Annual,Common winter wheat and spelt,Molluscicides,Kilogram,Czechia,2019,78.0
Annual,Common winter wheat and spelt,Molluscicides,Kilogram,Germany,2014,274.0
Annual,Common winter wheat and spelt,Molluscicides,Kilogram,Denmark,2014,207.0
Annual,Common winter wheat and spelt,Molluscicides,Kilogram,Denmark,2017,580.0
Annual,Common winter wheat and spelt,Molluscicides,Kilogram,Hungary,2014,0.0
Annual,Common winter wheat and spelt,Molluscicides,Kilogram,Hungary,2019,12.0
Annual,Common winter wheat and spelt,Molluscicides,Kilogram,Ireland,2012,329.0
Annual,Common winter wheat and spelt,Molluscicides,Kilogram,Ireland,2016,830.0
Annual,Common winter wheat and spelt,Molluscicides,Kilogram,Luxembourg,2012,71.0
Annual,Common winter wheat and spelt,Molluscicides,Kilogram,Luxembourg,2013,28.0
Annual,Common winter wheat and spelt,Molluscicides,Kilogram,Luxembourg,2018,20.0
Annual,Common winter wheat and spelt,Molluscicides,Kilogram,Latvia,2017,2.0
Annual,Common winter wheat and spelt,Molluscicides,Kilogram,Netherlands,2016,1995.0
